Time,Distance
3.400712,0.09623708
3.409008,0.09728113
3.415614,0.09799293
3.422115,0.09858903
3.428662,0.09908408
3.435333,0.09947928
3.443506,0.0998126
3.450119,0.09996035
3.457569,0.09999587
3.464206,0.09991067
3.472892,0.09963302
3.480257,0.09925034
3.488014,0.09870181
3.494847,0.09809557
3.501468,0.09739887
3.509583,0.09639955
3.515616,0.09555362
3.524021,0.09423043
3.530977,0.09300951
3.53839,0.09158438
3.544492,0.09031686
3.552565,0.08851094
3.559752,0.08678173
3.566041,0.08517667
3.574692,0.08283149
3.58123,0.08095628
3.590346,0.07819744
3.59726,0.07599632
3.605185,0.07336184
3.612352,0.07088003
3.620102,0.06809407
3.627433,0.0653645
3.633433,0.06306483
3.641662,0.05981935
3.648226,0.05715759
3.655825,0.05399946
3.661954,0.05139535
3.670532,0.04767015
3.676793,0.04489513
3.683677,0.04179335
3.692361,0.03781069
3.699619,0.03442684
3.707254,0.03081843
3.714401,0.02739981
3.721091,0.02416855
3.729999,0.01982382
3.736814,0.01647311
3.743439,0.01319724
3.750123,0.00987823
3.758006,0.005949125
3.764453,0.002728691
3.772381,0.001234982
3.778754,0.004419989
3.785258,0.007665931
3.793566,0.01179992
3.801312,0.01563611
3.809318,0.01957625
3.815262,0.02248133
3.823021,0.02624388
3.830598,0.02987977
3.838546,0.03364795
3.844633,0.03649784
3.852437,0.04010201
3.859484,0.04330417
3.866048,0.04623861
3.873999,0.04972596
3.880982,0.05272451
3.88894,0.05606283
3.895503,0.05874923
3.90359,0.0619728
3.911021,0.06484506
3.918132,0.06751043
3.925772,0.07027862
3.933061,0.07282399
3.941211,0.07555549
3.94838,0.07785447
3.955419,0.08001468
3.962763,0.08216274
3.970081,0.08419293
3.976885,0.08597951
3.98357,0.08763795
3.991839,0.08955378
3.998207,0.09092512
4.005569,0.09239524
4.012347,0.09363824
4.019884,0.09489413
4.026854,0.09593567
4.033225,0.09678573
4.040779,0.09766646
4.049246,0.09848792
4.056484,0.09905023
4.063971,0.09949542
4.072171,0.09982306
4.078255,0.09995773
4.085379,0.09999786
4.09349,0.09988911
4.101283,0.09962988
4.109734,0.09917786
4.115628,0.09875776
4.123435,0.09806923
4.13068,0.0972967
4.138343,0.0963406
4.145004,0.09539463
4.153078,0.09410632
4.159991,0.09288111
4.166372,0.09165182
4.174963,0.08984978
4.180972,0.08849037
4.188826,0.08659369
4.1966,0.08458459
4.204678,0.08236167
4.211564,0.0803607
4.218286,0.07831539
4.225573,0.07599822
4.232536,0.07368972
4.240582,0.07091115
4.246989,0.06861632
4.255287,0.06554005
4.262541,0.06275813
4.270485,0.05961714
4.27635,0.05723743
4.282984,0.05448663
4.29147,0.0508809
4.298913,0.0476427
4.305994,0.04450054
4.313468,0.04112343
4.319119,0.03853196
4.325904,0.03537976
4.33305,0.03201595
4.340953,0.02824846
4.347661,0.0250159
4.354113,0.02188009
4.360912,0.01855081
4.368408,0.01485557
4.37676,0.0107142
4.383224,0.007495768
4.391979,0.00312474
4.398339,5.449216E-05
4.407098,0.004432503
4.414392,0.008072014
4.422153,0.01193337
4.429619,0.01563021
4.436778,0.01915478
4.443911,0.02264255
4.450391,0.0257858
4.458563,0.02971111
4.464434,0.03250094
4.473028,0.03653329
4.480039,0.03977321
4.487445,0.04314296
4.494749,0.04640809
4.502411,0.04976678
4.510116,0.05307036
4.516461,0.05573207
4.523869,0.05876847
4.530981,0.06160804
4.538894,0.06467555
4.54539,0.06711826
4.553604,0.07010523
4.560496,0.07252064
4.567305,0.07482196
4.575125,0.07735837
4.581262,0.07926594
4.589814,0.08179977
4.5958,0.08348463
4.603515,0.08554535
4.60991,0.08715724
4.617357,0.08892193
4.624368,0.09047076
4.632259,0.09208077
4.639756,0.09347766
4.646685,0.0946521
4.654262,0.09580618
4.661007,0.09671797
